gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.23817292006525284,146,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.2398042414355628,147,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.24143556280587275,148,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.24306688417618272,149,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.24469820554649266,150,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.2463295269168026,151,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.24796084828711257,152,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2495921696574225,153,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.25122349102773245,154,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2528548123980424,155,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2544861337683524,156,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2561174551386623,157,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.25774877650897227,158,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.25938009787928223,159,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.26101141924959215,160,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2626427406199021,161,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.2642740619902121,162,real_external_test
0.22608695652173913,football,real,Expanded oracle top-5 h1,0.265905383360522,163,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.26753670473083196,164,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.26916802610114193,165,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.2707993474714519,166,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.2724306688417618,167,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.2740619902120718,168,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.27569331158238175,169,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.27732463295269166,170,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.27895595432300163,171,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.2805872756933116,172,real_external_test
0.21739130434782608,football,real,Expanded oracle top-5 h1,0.2822185970636215,173,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.2838499184339315,174,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.28548123980424145,175,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.28711256117455136,176,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.28874388254486133,177,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.2903752039151713,178,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.29200652528548127,179,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.2936378466557912,180,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.29526916802610115,181,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.2969004893964111,182,real_external_test
0.2,football,real,Expanded oracle top-5 h1,0.29853181076672103,183,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.300163132137031,184,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.30179445350734097,185,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.3034257748776509,186,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.30505709624796085,187,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.3066884176182708,188,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.3083197389885807,189,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.3099510603588907,190,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.31158238172920066,191,real_external_test
0.16521739130434782,football,real,Expanded oracle top-5 h1,0.3132137030995106,192,real_external_test
0.1391304347826087,football,real,Expanded oracle top-5 h1,0.31484502446982054,193,real_external_test
0.1391304347826087,football,real,Expanded oracle top-5 h1,0.3164763458401305,194,real_external_test
0.1391304347826087,football,real,Expanded oracle top-5 h1,0.3181076672104405,195,real_external_test
0.1391304347826087,football,real,Expanded oracle top-5 h1,0.3197389885807504,196,real_external_test
0.1391304347826087,football,real,Expanded oracle top-5 h1,0.32137030995106036,197,real_external_test
0.13043478260869565,football,real,Expanded oracle top-5 h1,0.32300163132137033,198,real_external_test
0.13043478260869565,football,real,Expanded oracle top-5 h1,0.32463295269168024,199,real_external_test
0.13043478260869565,football,real,Expanded oracle top-5 h1,0.3262642740619902,200,real_external_test
0.12173913043478261,football,real,Expanded oracle top-5 h1,0.3278955954323002,201,real_external_test
0.12173913043478261,football,real,Expanded oracle top-5 h1,0.3295269168026101,202,real_external_test
0.12173913043478261,football,real,Expanded oracle top-5 h1,0.33115823817292006,203,real_external_test
0.12173913043478261,football,real,Expanded oracle top-5 h1,0.33278955954323003,204,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.33442088091353994,205,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3360522022838499,206,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3376835236541599,207,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.33931484502446985,208,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.34094616639477976,209,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3425774877650897,210,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3442088091353997,211,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3458401305057096,212,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3474714518760196,213,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.34910277324632955,214,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.35073409461663946,215,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3523654159869494,216,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3539967373572594,217,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3556280587275693,218,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3572593800978793,219,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.35889070146818924,220,real_external_test
0.11304347826086956,football,real,Expanded oracle top-5 h1,0.3605220228384992,221,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3621533442088091,222,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3637846655791191,223,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.36541598694942906,224,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.367047308319739,225,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.36867862969004894,226,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3703099510603589,227,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3719412724306688,228,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3735725938009788,229,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.37520391517128876,230,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3768352365415987,231,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.37846655791190864,232,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3800978792822186,233,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3817292006525285,234,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3833605220228385,235,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.38499184339314846,236,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3866231647634584,237,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.38825448613376834,238,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3898858075040783,239,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3915171288743883,240,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3931484502446982,241,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.39477977161500816,242,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.3964110929853181,243,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.39804241435562804,244,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.399673735725938,245,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.401305057096248,246,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4029363784665579,247,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.40456769983686786,248,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4061990212071778,249,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4078303425774878,250,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4094616639477977,251,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4110929853181077,252,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.41272430668841764,253,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.41435562805872755,254,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4159869494290375,255,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4176182707993475,256,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4192495921696574,257,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.42088091353996737,258,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.42251223491027734,259,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.42414355628058725,260,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4257748776508972,261,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4274061990212072,262,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4290375203915171,263,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.43066884176182707,264,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.43230016313213704,265,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.433931484502447,266,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4355628058727569,267,real_external_test
0.10434782608695652,football,real,Expanded oracle top-5 h1,0.4371941272430669,268,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.43882544861337686,269,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.44045676998368677,270,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.44208809135399674,271,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.4437194127243067,272,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.4453507340946166,273,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.4469820554649266,274,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.44861337683523655,275,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.45024469820554647,276,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.45187601957585644,277,real_external_test
0.09565217391304348,football,real,Expanded oracle top-5 h1,0.4535073409461664,278,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4551386623164764,279,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4567699836867863,280,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.45840130505709625,281,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4600326264274062,282,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.46166394779771613,283,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4632952691680261,284,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.46492659053833607,285,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.466557911908646,286,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.46818923327895595,287,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4698205546492659,288,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.47145187601957583,289,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4730831973898858,290,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.47471451876019577,291,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.4763458401305057,292,real_external_test
0.08695652173913043,football,real,Expanded oracle top-5 h1,0.47797716150081565,293,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4796084828711256,294,real_external_test
0.0782608695652174,football,real,Expanded oracle top-5 h1,0.4812398042414356,295,real_external_test
