gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.05013927576601671,1,159-177,M5 dynamic edge betweenness,1,synthetic_test,54,159,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.0510677808727948,1,150-177,M5 dynamic edge betweenness,1,synthetic_test,55,150,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,17,0.051996285979572884,1,168-193,M5 dynamic edge betweenness,1,synthetic_test,56,168,193
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.052924791086350974,1,154-184,M5 dynamic edge betweenness,1,synthetic_test,57,154,184
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,16,0.05385329619312906,1,157-184,M5 dynamic edge betweenness,1,synthetic_test,58,157,184
0.9642857142857143,0.9846938775510204,0.020408163265306145,synthetic_test_000,sbm,Expanded oracle top-5 h1,16,0.05478180129990715,1,150-184,M4 dynamic community internal / pair,1,synthetic_test,59,150,184
0.9642857142857143,0.9642857142857143,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,14,0.055710306406685235,1,1-161,M5 dynamic edge betweenness,1,synthetic_test,60,1,161
0.9642857142857143,0.9642857142857143,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,15,0.056638811513463325,1,150-194,M5 dynamic edge betweenness,1,synthetic_test,61,150,194
0.9642857142857143,0.9642857142857143,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.057567316620241414,1,150-161,M5 dynamic edge betweenness,1,synthetic_test,62,150,161
0.9642857142857143,0.9642857142857143,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.0584958217270195,1,147-165,M5 dynamic edge betweenness,1,synthetic_test,63,147,165
0.9642857142857143,0.9642857142857143,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.059424326833797586,1,150-154,M5 dynamic edge betweenness,1,synthetic_test,64,150,154
0.9591836734693877,0.9642857142857143,0.005102040816326592,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.060352831940575676,1,150-165,M5 dynamic edge betweenness,1,synthetic_test,65,150,165
