dataset_group,graph_id,method,normalized_auc,ranking_checkpoint_count,runtime_seconds,seed,source_budget,source_step_count,status
synthetic45,synthetic_test_024,SASB-N-random-source,0.35784791898922336,5,6.4800657000000115,20260515,64,208,finished
synthetic45,synthetic_test_024,SASB-N-random-source,0.363282701597919,5,6.47643149999999,20260516,64,208,finished
synthetic45,synthetic_test_024,SASB-N-random-source,0.3547821441843181,5,6.689006100000029,20260517,64,208,finished
synthetic45,synthetic_test_024,SASB-N-degree-source,0.3689961910070606,5,6.430293699999993,20260513,64,208,finished
synthetic45,synthetic_test_024,SASB-N-degree-source,0.3689961910070606,5,6.462177999999994,20260514,64,208,finished
synthetic45,synthetic_test_024,SASB-N-degree-source,0.3689961910070606,5,6.376719499999979,20260515,64,208,finished
synthetic45,synthetic_test_024,SASB-N-degree-source,0.3689961910070606,5,6.473693400000002,20260516,64,208,finished
synthetic45,synthetic_test_024,SASB-N-degree-source,0.3689961910070606,5,6.281441400000006,20260517,64,208,finished
synthetic45,synthetic_test_024,SASB-N-frozen-source,0.3667200854700855,5,5.681317499999977,20260513,64,208,finished
synthetic45,synthetic_test_024,SASB-N-frozen-source,0.36871748420661465,5,6.934540400000003,20260514,64,208,finished
synthetic45,synthetic_test_024,SASB-N-frozen-source,0.36500139353400224,5,8.37161580000003,20260515,64,208,finished
synthetic45,synthetic_test_024,SASB-N-frozen-source,0.375940635451505,5,7.201425699999959,20260516,64,208,finished
synthetic45,synthetic_test_024,SASB-N-frozen-source,0.3618891675956894,5,5.845353799999998,20260517,64,208,finished
synthetic45,synthetic_test_005,SASB-N-structured,0.32119402985074624,5,5.032985199999985,20260513,64,201,finished
synthetic45,synthetic_test_005,SASB-N-structured,0.31786069651741294,5,4.746048999999971,20260514,64,201,finished
synthetic45,synthetic_test_005,SASB-N-structured,0.32830845771144274,5,4.941156899999953,20260515,64,201,finished
synthetic45,synthetic_test_005,SASB-N-structured,0.31146766169154233,5,4.707230700000025,20260516,64,201,finished
synthetic45,synthetic_test_005,SASB-N-structured,0.3260696517412935,5,4.819442100000003,20260517,64,201,finished
synthetic45,synthetic_test_005,SASB-N-random-source,0.3140049751243781,5,4.690534999999954,20260513,64,201,finished
synthetic45,synthetic_test_005,SASB-N-random-source,0.31651741293532343,5,4.786023300000011,20260514,64,201,finished
synthetic45,synthetic_test_005,SASB-N-random-source,0.31631840796019894,5,4.754205200000001,20260515,64,201,finished
synthetic45,synthetic_test_005,SASB-N-random-source,0.3222636815920398,5,4.7785334999999804,20260516,64,201,finished
synthetic45,synthetic_test_005,SASB-N-random-source,0.31385572139303475,5,4.698707000000013,20260517,64,201,finished
synthetic45,synthetic_test_005,SASB-N-degree-source,0.32552238805970146,5,4.758446599999957,20260513,64,201,finished
synthetic45,synthetic_test_005,SASB-N-degree-source,0.32552238805970146,5,4.760084699999993,20260514,64,201,finished
synthetic45,synthetic_test_005,SASB-N-degree-source,0.32552238805970146,5,4.7550463000000605,20260515,64,201,finished
synthetic45,synthetic_test_005,SASB-N-degree-source,0.32552238805970146,5,4.671819000000028,20260516,64,201,finished
synthetic45,synthetic_test_005,SASB-N-degree-source,0.32552238805970146,5,4.785191400000031,20260517,64,201,finished
synthetic45,synthetic_test_005,SASB-N-frozen-source,0.32236318407960196,5,4.129495200000065,20260513,64,201,finished
synthetic45,synthetic_test_005,SASB-N-frozen-source,0.32753731343283576,5,3.993051899999955,20260514,64,201,finished
synthetic45,synthetic_test_005,SASB-N-frozen-source,0.31343283582089554,5,4.021391799999947,20260515,64,201,finished
synthetic45,synthetic_test_005,SASB-N-frozen-source,0.32034825870646766,5,4.159487000000013,20260516,64,201,finished
synthetic45,synthetic_test_005,SASB-N-frozen-source,0.3331592039800995,5,4.1898815000000695,20260517,64,201,finished
synthetic45,synthetic_test_001,SASB-N-structured,0.28167331658538985,5,3.955958500000065,20260513,64,202,finished
synthetic45,synthetic_test_001,SASB-N-structured,0.2905152455544062,5,4.105693599999995,20260514,64,202,finished
synthetic45,synthetic_test_001,SASB-N-structured,0.2937416876015959,5,4.169360900000015,20260515,64,202,finished
