active_source_count,actual_remove_ratio,checkpoint_step,checkpoint_target_ratio,current_gcc_node_count,dataset_group,exact_m5_score_at_removed,exact_m5_score_mean,graph_id,graph_name,kendall_rank_correlation,method,pearson_score_correlation,precision_at_10pct,precision_at_1pct,precision_at_5pct,recall_at_10pct,recall_at_1pct,recall_at_5pct,removed_node,removed_node_m5_rank,removed_node_m5_rank_percentile,removed_node_m5_top_10pct,removed_node_m5_top_1pct,removed_node_m5_top_5pct,sampled_score_at_removed,sampled_score_mean,seed,source_budget,source_set_hash,spearman_rank_correlation,top_10pct_overlap,top_1pct_overlap,top_5pct_overlap
64,0.2,21,0.2,81,synthetic45,815.7345238095239,157.74074074074082,synthetic_test_034,synthetic_test_034,0.9309367982203292,SASB-N-random-source,0.993797492481162,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,15,1,0.0,True,True,True,1277.2940476190481,240.9382716049382,20260516,64,3cb128e296a22605,0.9873457161220854,0.8888888888888888,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-random-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260516,64,8df738904652805c,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-random-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260516,64,8bf3ad812a85dedc,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8787545787545787,SASB-N-random-source,0.9943979757418152,1.0,0.5,0.8333333333333334,1.0,0.5,0.8333333333333334,0,1,0.0,True,True,True,1408.8081432445115,88.72380952380945,20260517,64,605f25f718cbc951,0.9761559195521461,1.0,0.5,0.8333333333333334
64,0.10476190476190476,11,0.1,93,synthetic45,454.95073853734857,104.93548387096779,synthetic_test_034,synthetic_test_034,0.8925639221205723,SASB-N-random-source,0.9824223980472048,0.9,0.0,1.0,0.9,0.0,1.0,14,2,0.010869565217391304,True,False,True,682.8841620582723,143.87096774193543,20260517,64,dd317468701136b6,0.9779716287712019,0.9,0.0,1.0
64,0.2,21,0.2,73,synthetic45,518.6674963924967,107.1780821917808,synthetic_test_034,synthetic_test_034,0.9476923076923076,SASB-N-random-source,0.9972033259850444,0.875,1.0,0.75,0.875,1.0,0.75,20,1,0.0,True,True,True,888.7286435786438,187.7397260273973,20260517,64,3d1edeb56491fc85,0.9927710843373494,0.875,1.0,0.75
33,0.29523809523809524,31,0.3,33,synthetic45,160.06666666666666,47.5151515151515,synthetic_test_034,synthetic_test_034,1.0,SASB-N-random-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84,1,0.0,True,True,True,320.1333333333333,95.030303030303,20260517,64,1e6f01dd9aee4800,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-random-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26,1,0.0,True,True,True,0.0,0.0,20260517,64,b84f46d22fedb650,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8787545787545787,SASB-N-degree-source,0.9925919022299248,0.9090909090909092,1.0,0.8333333333333334,0.9090909090909092,1.0,0.8333333333333334,0,1,0.0,True,True,True,1320.4680978337374,80.84761904761903,20260513,64,949c2edc3748e649,0.9709413228281152,0.9090909090909092,1.0,0.8333333333333334
64,0.10476190476190476,11,0.1,92,synthetic45,423.3888330795453,101.38043478260867,synthetic_test_034,synthetic_test_034,0.8726053639846746,SASB-N-degree-source,0.9704110775083872,0.8,0.0,0.8,0.8,0.0,0.8,14,2,0.01098901098901099,True,False,True,557.7128884531362,129.98913043478257,20260513,64,f0d64d5b82494d35,0.9702341498003793,0.8,0.0,0.8
