dataset_group,graph_id,initial_source_jaccard,left_label,left_method,left_source_count,right_label,right_method,right_source_count,seed
realworld_completed,bio_grid_worm,0.7066666666666667,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_grid_worm,0.0,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,bio_grid_worm,0.6842105263157895,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_grid_worm,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_worm,0.0,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_grid_worm,0.0,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_worm,0.6842105263157895,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_worm,0.007874015748031496,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,bio_grid_worm,0.6,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_grid_worm,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_worm,0.6,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_worm,0.007874015748031496,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,bio_grid_worm,0.6842105263157895,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_grid_worm,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_worm,0.6842105263157895,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_csphd,0.015873015873015872,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,ca_csphd,0.4883720930232558,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ca_csphd,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_csphd,0.015873015873015872,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ca_csphd,0.015873015873015872,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_csphd,0.4883720930232558,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_csphd,0.07563025210084033,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,ca_csphd,0.4883720930232558,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ca_csphd,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_csphd,0.04918032786885246,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ca_csphd,0.07563025210084033,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_csphd,0.4883720930232558,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_csphd,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,ca_csphd,0.5058823529411764,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,ca_csphd,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_csphd,0.024,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,ca_csphd,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_csphd,0.5058823529411764,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_csphd,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,ca_csphd,0.4883720930232558,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,ca_csphd,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_csphd,0.024,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,ca_csphd,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_csphd,0.4883720930232558,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_csphd,0.03225806451612903,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,ca_csphd,0.45454545454545453,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,ca_csphd,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_csphd,0.04918032786885246,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,ca_csphd,0.03225806451612903,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_csphd,0.45454545454545453,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_netscience,0.13274336283185842,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,ca_netscience,0.3763440860215054,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ca_netscience,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_netscience,0.13274336283185842,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,ca_netscience,0.13274336283185842,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_netscience,0.3763440860215054,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,ca_netscience,0.06666666666666667,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,ca_netscience,0.3763440860215054,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ca_netscience,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_netscience,0.09401709401709402,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,ca_netscience,0.06666666666666667,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_netscience,0.3763440860215054,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,ca_netscience,0.09401709401709402,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,ca_netscience,0.391304347826087,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,ca_netscience,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_netscience,0.09401709401709402,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,ca_netscience,0.09401709401709402,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_netscience,0.391304347826087,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,ca_netscience,0.13274336283185842,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,ca_netscience,0.3763440860215054,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,ca_netscience,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_netscience,0.1743119266055046,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,ca_netscience,0.13274336283185842,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_netscience,0.3763440860215054,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,ca_netscience,0.07563025210084033,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,ca_netscience,0.391304347826087,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,ca_netscience,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_netscience,0.04918032786885246,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,ca_netscience,0.07563025210084033,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ca_netscience,0.391304347826087,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,econ_mahindas,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,econ_mahindas,0.31958762886597936,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,econ_mahindas,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,econ_mahindas,0.03225806451612903,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,econ_mahindas,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,econ_mahindas,0.31958762886597936,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,econ_mahindas,0.04918032786885246,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,econ_mahindas,0.23076923076923078,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,econ_mahindas,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,econ_mahindas,0.04065040650406504,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,econ_mahindas,0.04918032786885246,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,econ_mahindas,0.23076923076923078,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,econ_mahindas,0.04918032786885246,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,econ_mahindas,0.23076923076923078,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,econ_mahindas,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,econ_mahindas,0.04065040650406504,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,econ_mahindas,0.04918032786885246,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,econ_mahindas,0.23076923076923078,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,econ_mahindas,0.0,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,econ_mahindas,0.3333333333333333,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,econ_mahindas,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,econ_mahindas,0.024,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,econ_mahindas,0.0,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,econ_mahindas,0.3333333333333333,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,econ_mahindas,0.015873015873015872,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,econ_mahindas,0.3763440860215054,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,econ_mahindas,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,econ_mahindas,0.03225806451612903,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,econ_mahindas,0.015873015873015872,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,econ_mahindas,0.3763440860215054,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,ia_enron_only,0.30612244897959184,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
