dataset_group,method,removed_ratio,gcc_ratio
synthetic45,M5,0.22,0.6262882539601875
synthetic45,M5,0.23,0.6130665213038117
synthetic45,M5,0.24,0.5957423506703523
synthetic45,M5,0.25,0.5737853933736383
synthetic45,M5,0.26,0.5564075340196948
synthetic45,M5,0.27,0.5401752573355831
synthetic45,M5,0.28,0.5267853485886703
synthetic45,M5,0.29,0.5153801688922285
synthetic45,M5,0.3,0.5077162653610807
synthetic45,M5,0.31,0.48513244262343186
synthetic45,M5,0.32,0.47080181189264914
synthetic45,M5,0.33,0.46123916456686176
synthetic45,M5,0.34,0.4532442627682632
synthetic45,M5,0.35000000000000003,0.4414983784355525
synthetic45,M5,0.36,0.42562125857443345
synthetic45,M5,0.37,0.4160897995918955
synthetic45,M5,0.38,0.4020645440159715
synthetic45,M5,0.39,0.3927702016544643
synthetic45,M5,0.4,0.38152428986776304
synthetic45,M5,0.41000000000000003,0.3741047422782397
synthetic45,M5,0.42,0.3662274317454969
synthetic45,M5,0.43,0.35587111733215526
synthetic45,M5,0.44,0.3380157321419941
synthetic45,M5,0.45,0.3283130371450993
synthetic45,M5,0.46,0.318309071308093
synthetic45,M5,0.47000000000000003,0.3108770209954624
synthetic45,M5,0.48,0.28981511247286135
synthetic45,M5,0.49,0.28179784683929276
synthetic45,M5,0.5,0.27364003270102816
synthetic45,M5,0.51,0.2664921988219867
synthetic45,M5,0.52,0.2567047459836676
synthetic45,M5,0.53,0.24911790995893698
synthetic45,M5,0.54,0.2377213655272629
synthetic45,M5,0.55,0.23017104632735128
synthetic45,M5,0.56,0.22240459394097106
synthetic45,M5,0.5700000000000001,0.21402321500789842
synthetic45,M5,0.58,0.20809448010575468
synthetic45,M5,0.59,0.19642308199382452
synthetic45,M5,0.6,0.1900889532868429
synthetic45,M5,0.61,0.18076501657351182
synthetic45,M5,0.62,0.17295897954230263
synthetic45,M5,0.63,0.16601719763065145
synthetic45,M5,0.64,0.15508965664274485
synthetic45,M5,0.65,0.14640505891910158
synthetic45,M5,0.66,0.13926556079098631
synthetic45,M5,0.67,0.13165753724474688
synthetic45,M5,0.68,0.1255292780007748
synthetic45,M5,0.6900000000000001,0.11929360485923181
synthetic45,M5,0.7000000000000001,0.10664742781225187
synthetic45,M5,0.71,0.10116400533808136
synthetic45,M5,0.72,0.09534143931975424
synthetic45,M5,0.73,0.08967157503209452
synthetic45,M5,0.74,0.07947186119089128
synthetic45,M5,0.75,0.07251266139564189
synthetic45,M5,0.76,0.06676528426888097
synthetic45,M5,0.77,0.06096590057388735
synthetic45,M5,0.78,0.05490094207831721
synthetic45,M5,0.79,0.050927516770635735
synthetic45,M5,0.8,0.04493439502807738
synthetic45,M5,0.81,0.04003959582861218
synthetic45,M5,0.8200000000000001,0.036510500210447536
synthetic45,M5,0.8300000000000001,0.03371170892848836
synthetic45,M5,0.84,0.031215519410432106
synthetic45,M5,0.85,0.0290677385663836
synthetic45,M5,0.86,0.026584839111405998
synthetic45,M5,0.87,0.024716936871093016
synthetic45,M5,0.88,0.022840856311214817
synthetic45,M5,0.89,0.021188170423591467
synthetic45,M5,0.9,0.01964795592224196
synthetic45,M5,0.91,0.018797786401616817
synthetic45,M5,0.92,0.017899021124505643
synthetic45,M5,0.93,0.016183001363549266
synthetic45,M5,0.9400000000000001,0.015310015995842995
synthetic45,M5,0.9500000000000001,0.014708679629677854
synthetic45,M5,0.96,0.014533701501943821
synthetic45,M5,0.97,0.014125438140924554
synthetic45,M5,0.98,0.013839060296790934
synthetic45,M5,0.99,0.013839060296790934
synthetic45,M5,1.0,0.006919530148395443
synthetic45,SASB,0.0,1.0
synthetic45,SASB,0.01,1.0
synthetic45,SASB,0.02,1.0
synthetic45,SASB,0.03,0.9875861484826441
synthetic45,SASB,0.04,0.9823447994451695
synthetic45,SASB,0.05,0.9772723356770535
synthetic45,SASB,0.06,0.9662130858163366
synthetic45,SASB,0.07,0.9397090885135881
synthetic45,SASB,0.08,0.9310941523753318
synthetic45,SASB,0.09,0.9185072313157654
synthetic45,SASB,0.1,0.9010824198464085
synthetic45,SASB,0.11,0.8875284206724949
synthetic45,SASB,0.12,0.874323998866375
synthetic45,SASB,0.13,0.8541184624859539
synthetic45,SASB,0.14,0.8216337814887652
synthetic45,SASB,0.15,0.7969968480788885
synthetic45,SASB,0.16,0.7774265125088963
synthetic45,SASB,0.17,0.7637147746783189
synthetic45,SASB,0.18,0.7500968137402588
synthetic45,SASB,0.19,0.7389046940368125
synthetic45,SASB,0.2,0.7231990850434825
synthetic45,SASB,0.21,0.7088590329326757
synthetic45,SASB,0.22,0.6950572102828129
