avg_degree,candidate_rank_min,candidate_source_count,clustering_product,clustering_u,clustering_v,community_internal_edges_u,community_internal_edges_v,community_internal_product,community_pair_edges,community_size_product,community_size_u,community_size_v,current_edges,current_gcc_ratio,current_nodes,degree_abs_diff,degree_max,degree_min,degree_product,degree_sum,degree_u,degree_v,density,gcc_delta,graph_id,graph_type,is_inter_community,m4_score,m7_score,m8_score,n,node_betweenness_product,node_betweenness_u,node_betweenness_v,num_communities,pagerank_product,pagerank_u,pagerank_v,remove_ratio,same_community,source_bridge,source_m2,source_m4,source_m5,source_m7,source_m8,source_random,split,step,u,v,damage_rank
7.987654320987654,5,1,0.10493827160493828,0.2777777777777778,0.37777777777777777,49,94,4606,10,432,16,27,647,1.0,162,1,10,9,90,19,9,10,0.049612759757687294,0.0,train_000,ws,1,460.6,43.2,3888.0000000000005,162,0.0029439891560655283,0.059983351527755566,0.04908010441369356,8,5.0463208943293346e-05,0.006865083344979223,0.007350705943023925,0.0015432098765432098,0,0,0,0,1,0,0,0,train,1,44,75,1
7.987654320987654,5,2,0.10582010582010581,0.2777777777777778,0.38095238095238093,49,67,3283,1,320,16,20,647,1.0,162,2,9,7,63,16,9,7,0.049612759757687294,0.0,train_000,ws,1,3283.0,320.0,20160.0,162,0.003119001925166948,0.059983351527755566,0.05199779348314207,8,3.831331295649938e-05,0.006865083344979223,0.005580895530499249,0.0015432098765432098,0,0,0,0,0,1,1,0,train,1,44,120,1
7.987654320987654,1,1,0.30357142857142855,0.5,0.6071428571428571,67,67,4489,0,400,20,20,647,1.0,162,1,9,8,72,17,9,8,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00011578659924042297,0.02435918438654623,0.004753303616535405,8,4.2111449521419454e-05,0.006823942890825323,0.006171131586994609,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,106,107,1
7.987654320987654,2,1,0.11805555555555555,0.25,0.4722222222222222,76,76,5776,0,484,22,22,647,1.0,162,0,9,9,81,18,9,9,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0012424264794672945,0.07205529740548487,0.017242680610637804,8,4.754728734737613e-05,0.006927701391130765,0.006863356929363159,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,123,137,1
7.987654320987654,3,1,0.2222222222222222,0.6666666666666666,0.3333333333333333,94,94,8836,0,729,27,27,647,1.0,162,3,9,6,54,15,6,9,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00014285697765016684,0.0026289336186790654,0.05434027570538155,8,3.446630782838125e-05,0.00494954926319351,0.006963524554586041,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,56,57,1
7.987654320987654,4,1,0.2653061224489796,0.5714285714285714,0.4642857142857143,50,50,2500,0,256,16,16,647,1.0,162,0,8,8,64,16,8,8,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,9.539132870935528e-05,0.005689677962970564,0.01676568152541831,8,3.894719997853447e-05,0.00624092686570355,0.006240611501564823,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,154,157,1
7.987654320987654,5,1,0.25297619047619047,0.4722222222222222,0.5357142857142857,94,94,8836,0,729,27,27,647,1.0,162,1,9,8,72,17,9,8,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00010818334774499074,0.019433980174642197,0.005566710821602581,8,4.176166251237367e-05,0.0068185014387173865,0.006124756720771386,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,66,69,1
7.987654320987654,6,1,0.2678571428571429,0.6428571428571429,0.4166666666666667,79,79,6241,0,529,23,23,647,1.0,162,1,9,8,72,17,8,9,0.049612759757687294,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.00022443608089364747,0.008191539728443794,0.027398521930416763,8,4.350900095051153e-05,0.006311328977534576,0.006893793859484038,0.0015432098765432098,1,0,0,0,0,0,0,1,train,1,3,7,1
7.9753086419753085,1,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,57,3249,0,289,17,17,646,1.0,162,0,10,10,100,20,10,10,0.049536078521585765,0.0,train_000,ws,0,0.0,0.0,0.0,162,0.0021800645691955707,0.06491169610769949,0.03358508096258145,8,5.449007385652342e-05,0.007343052740932976,0.007420629509137933,0.0030864197530864196,1,0,1,0,0,0,0,0,train,2,29,30,1
7.9753086419753085,2,1,0.11753086419753087,0.3111111111111111,0.37777777777777777,57,94,5358,3,459,17,27,646,1.0,162,0,10,10,100,20,10,10,0.049536078521585765,0.0,train_000,ws,1,1786.0,153.0,15300.0,162,0.0034045549650058306,0.06491169610769949,0.052449021811987434,8,5.400968002872269e-05,0.007343052740932976,0.007355207967886726,0.0030864197530864196,0,0,1,0,0,0,0,0,train,2,29,75,1
