dataset,graph_id,method,candidate_policy,seed,removed_edges,source_count_min,source_count_max,source_count_mean,source_count_median,true_source_traversal_count
realworld_completed,soc_wiki_vote,Structure-matched-candidate,structure_matched,20260513,2914,2.0,32.0,24.33870967741936,32.0,70923
realworld_completed,web_edu,Random-size-matched-candidate,random_size_matched,20260513,6474,2.0,32.0,18.71285140562249,20.0,121147
realworld_completed,web_edu,SASB-candidate,sasb,20260513,6474,2.0,32.0,17.70466481309855,15.5,114620
realworld_completed,web_edu,Structure-matched-candidate,structure_matched,20260513,6474,2.0,32.0,18.08001235712079,17.0,117050
realworld_completed,web_polblogs,Random-size-matched-candidate,random_size_matched,20260513,2280,2.0,32.0,28.321929824561405,32.0,64574
realworld_completed,web_polblogs,SASB-candidate,sasb,20260513,2280,2.0,32.0,25.49035087719298,32.0,58118
realworld_completed,web_polblogs,Structure-matched-candidate,structure_matched,20260513,2280,2.0,32.0,25.899561403508773,32.0,59051
synthetic45,synthetic_test_000,Random-size-matched-candidate,random_size_matched,20260513,388,2.0,32.0,25.548969072164947,32.0,9913
synthetic45,synthetic_test_000,SASB-candidate,sasb,20260513,388,2.0,32.0,24.61340206185567,32.0,9550
synthetic45,synthetic_test_000,Structure-matched-candidate,structure_matched,20260513,388,2.0,32.0,25.492268041237114,32.0,9891
synthetic45,synthetic_test_001,Random-size-matched-candidate,random_size_matched,20260513,1010,2.0,32.0,24.423762376237622,32.0,24668
synthetic45,synthetic_test_001,SASB-candidate,sasb,20260513,1010,2.0,32.0,24.83663366336633,32.0,25085
synthetic45,synthetic_test_001,Structure-matched-candidate,structure_matched,20260513,1010,2.0,32.0,24.546534653465347,32.0,24792
synthetic45,synthetic_test_002,Random-size-matched-candidate,random_size_matched,20260513,208,2.0,32.0,17.908653846153847,17.0,3725
synthetic45,synthetic_test_002,SASB-candidate,sasb,20260513,208,2.0,32.0,17.60576923076923,14.0,3662
synthetic45,synthetic_test_002,Structure-matched-candidate,structure_matched,20260513,208,2.0,32.0,17.384615384615383,13.0,3616
synthetic45,synthetic_test_003,Random-size-matched-candidate,random_size_matched,20260513,1123,2.0,32.0,30.37310774710597,32.0,34109
synthetic45,synthetic_test_003,SASB-candidate,sasb,20260513,1123,2.0,32.0,27.66607301869991,32.0,31069
