dataset,dataset_label,graph_id,method,candidate_policy,seed,steps,initial_candidate_count,candidate_count_mean,candidate_fraction_mean,inter_community_ratio_mean,boundary_ratio_mean,bridge_ratio_mean,low_cn_ratio_mean,matched_feature_difference_mean,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,initial_candidate_hash,initial_source_node_hash
realworld_completed,realworld24,ia_enron_only,Random-size-matched-candidate,random_size_matched,20260513,623,124,79.42375601926163,0.41639035601223723,0.22592070728029662,0.22592070728029662,0.17587353531190272,0.8470383088282812,0.4666348900215027,0,0,0,0,d769961ffa16db78478a8efd31346f08ca69d0c2e73a064dbce58278ad62252e,73079c23534a97c6572ae84f039443079a78d8fbc91dafa6ac6f3d94c8a25308
realworld_completed,realworld24,ia_enron_only,SASB-candidate,sasb,20260513,623,124,69.56500802568219,0.5236378027622299,0.4611951234403407,0.4611951234403407,0.204924622452945,0.9372642347892931,0.0,0,0,0,0,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,73079c23534a97c6572ae84f039443079a78d8fbc91dafa6ac6f3d94c8a25308
realworld_completed,realworld24,ia_enron_only,Structure-matched-candidate,structure_matched,20260513,623,124,78.39807383627608,0.44535483855720087,0.5518978807112522,0.5518978807112522,0.18559716947119878,0.965028788274188,0.0,48842,0,0,0,2021dc984ffa83f941f625c5d73f7d29d8159adb5dcb04bc901185765c951807,73079c23534a97c6572ae84f039443079a78d8fbc91dafa6ac6f3d94c8a25308
realworld_completed,realworld24,ia_infect_dublin,Random-size-matched-candidate,random_size_matched,20260513,2765,317,202.5142857142857,0.24418327228464268,0.12372850655496338,0.12372850655496338,0.08974518807081125,0.7246021460911982,0.5721534644140687,0,0,0,0,32f21025e25a8a4fc40b4ed458fae95e4574a0d998278078b55f6a53ef8e96ef,27b14dfec99b92f6ddd2122e1327c45bd808263953282d245faab27797bbfaf2
realworld_completed,realworld24,ia_infect_dublin,SASB-candidate,sasb,20260513,2765,317,166.31573236889693,0.38386158843553114,0.39862628857110943,0.39862628857110943,0.12343692224117231,0.9060666009056859,0.0,0,0,0,0,cd79996a3fabfb57c370ea75abc904d5a8ad1370cc414328c09f0169b4aa7ca0,27b14dfec99b92f6ddd2122e1327c45bd808263953282d245faab27797bbfaf2
realworld_completed,realworld24,ia_infect_dublin,Structure-matched-candidate,structure_matched,20260513,2765,317,185.92043399638337,0.32118174638865166,0.45856960608018954,0.45856960608018954,0.11005355503682972,0.9449397308733881,0.0,514070,0,0,0,60b5947516b99c672ebd1f9d8c8b374f4bb4c9f1f080720d514170dbdac1cc0a,27b14dfec99b92f6ddd2122e1327c45bd808263953282d245faab27797bbfaf2
realworld_completed,realworld24,ia_infect_hyper,Random-size-matched-candidate,random_size_matched,20260513,2196,222,147.31967213114754,0.20341153296501194,0.5804277921165315,0.5804277921165315,0.03876904899969041,0.5803914560491098,0.4327343223894603,0,0,0,0,e8c499b99324500976909259553b723534967ee445442026a80f0b5dfb57f652,a47f3ae3e5afeabb84fdce4b7aa9d25dc5ea53835c0bc8eecc3fc63c1cd2934f
realworld_completed,realworld24,ia_infect_hyper,SASB-candidate,sasb,20260513,2196,222,146.8292349726776,0.22362523217453203,0.8010252336627005,0.8010252336627005,0.043676204340616566,0.8133112754991308,0.0,0,0,0,0,2f5c51dd9ae772fe9b6e0dc8eef585b6c40eb44c0b601fc351a8edd60aa2279a,a47f3ae3e5afeabb84fdce4b7aa9d25dc5ea53835c0bc8eecc3fc63c1cd2934f
realworld_completed,realworld24,ia_infect_hyper,Structure-matched-candidate,structure_matched,20260513,2196,222,147.74134790528234,0.21396797768016648,0.8644463740779458,0.8644463740779458,0.04419979879507944,0.7885070084837417,0.0,324440,0,0,0,f6ff36d815dfa204a2a8ec9719cddcd1c0958540b599b25b0a1658f875a12ff4,a47f3ae3e5afeabb84fdce4b7aa9d25dc5ea53835c0bc8eecc3fc63c1cd2934f
realworld_completed,realworld24,ia_radoslaw_email,Random-size-matched-candidate,random_size_matched,20260513,3250,292,189.89353846153847,0.16973721821013146,0.5826975219719254,0.5826975219719254,0.033759074443053434,0.8037682003324136,0.3830076781320585,0,0,0,0,2641636f93fcd6a8625aea1046f38ada39716ae9dd76d3e8cace620fa6f5f47a,507ddf15f1eef8ca022a802204d84d73de641aeed122baa12d2964d86b11afc4
realworld_completed,realworld24,ia_radoslaw_email,SASB-candidate,sasb,20260513,3250,292,189.7363076923077,0.22932974138600096,0.7245381269366811,0.7245381269366811,0.049083881393631304,0.9214416771466986,0.0,0,0,0,0,eab6aadc5588be9359b6b9e547285d0cd265f86919a5697667679dcbfd76957c,507ddf15f1eef8ca022a802204d84d73de641aeed122baa12d2964d86b11afc4
realworld_completed,realworld24,ia_radoslaw_email,Structure-matched-candidate,structure_matched,20260513,3250,292,186.992,0.24111504431633196,0.8825887078349988,0.8825887078349988,0.0327147438694989,0.8610255387932209,0.0,607724,0,0,0,79eee9008c320543a4106efde8d7424cd9e7e70b83c3b6bafdbf9466c2502b8f,507ddf15f1eef8ca022a802204d84d73de641aeed122baa12d2964d86b11afc4
realworld_completed,realworld24,inf_euroroad,Random-size-matched-candidate,random_size_matched,20260513,1305,251,22.35785440613027,0.9211348283450526,0.1285613711690594,0.1285613711690594,0.7654601308076412,0.9992164212825353,0.04020339077202707,0,0,0,0,4329eb28e5eb75fce8168dc3b643e37a4b231b38302f06e486bfa4288b73b191,2f375455dab96b0d0686335f1f85ad94fa14e304e1526789723d32757983a2b7
